title,word,n,total
Elementary Forms,totem,1250,78851
Elementary Forms,religi,606,78851
Elementary Forms,anim,577,78851
Elementary Forms,religion,572,78851
Elementary Forms,form,542,78851
Elementary Forms,natur,542,78851
Elementary Forms,idea,531,78851
Elementary Forms,clan,478,78851
Elementary Forms,rite,475,78851
Elementary Forms,soul,474,78851
Elementary Forms,individu,466,78851
Elementary Forms,sacr,419,78851
Elementary Forms,life,395,78851
Elementary Forms,societi,373,78851
Elementary Forms,forc,361,78851
Elementary Forms,object,348,78851
Elementary Forms,sort,345,78851
Elementary Forms,time,344,78851
Elementary Forms,tribe,331,78851
Elementary Forms,ff,330,78851
Elementary Forms,relat,319,78851
Elementary Forms,cult,296,78851
Elementary Forms,_nat,295,78851
Elementary Forms,repres,272,78851
Elementary Forms,ceremoni,262,78851
Elementary Forms,origin,257,78851
Elementary Forms,person,256,78851
Elementary Forms,exist,253,78851
Elementary Forms,concept,246,78851
Elementary Forms,social,241,78851
Elementary Forms,found,239,78851
Elementary Forms,god,237,78851
Elementary Forms,bodi,233,78851
Elementary Forms,believ,230,78851
Elementary Forms,ancestor,229,78851
Elementary Forms,spencer,226,78851
Elementary Forms,principl,224,78851
Elementary Forms,power,223,78851
Elementary Forms,express,218,78851
Elementary Forms,reason,218,78851
Elementary Forms,collect,217,78851
Elementary Forms,belief,213,78851
Elementary Forms,explain,212,78851
Elementary Forms,word,212,78851
Elementary Forms,gillen,206,78851
Elementary Forms,strehlow,206,78851
Elementary Forms,human,205,78851
Elementary Forms,howitt,195,78851
Elementary Forms,essenti,194,78851
Elementary Forms,charact,189,78851
Elementary Forms,attribut,187,78851
Elementary Forms,world,185,78851
Elementary Forms,_ibid,182,78851
Elementary Forms,mind,181,78851
Elementary Forms,observ,180,78851
Elementary Forms,true,178,78851
Elementary Forms,ii,176,78851
Elementary Forms,sentiment,174,78851
Elementary Forms,system,173,78851
Elementary Forms,moral,172,78851
Elementary Forms,call,170,78851
Elementary Forms,primit,169,78851
Elementary Forms,mean,166,78851
Elementary Forms,represent,166,78851
Elementary Forms,profan,163,78851
Elementary Forms,spirit,162,78851
Elementary Forms,live,160,78851
Elementary Forms,special,160,78851
Elementary Forms,act,159,78851
Elementary Forms,speci,159,78851
Elementary Forms,_the,156,78851
Elementary Forms,characterist,155,78851
Elementary Forms,determin,149,78851
Elementary Forms,organ,149,78851
Elementary Forms,arunta,148,78851
Elementary Forms,class,148,78851
Elementary Forms,frequent,148,78851
Elementary Forms,serv,148,78851
Elementary Forms,common,147,78851
Elementary Forms,studi,144,78851
Elementary Forms,_nor,142,78851
Elementary Forms,phratri,142,78851
Elementary Forms,australian,141,78851
Elementary Forms,feel,141,78851
Elementary Forms,real,138,78851
Elementary Forms,theori,137,78851
Elementary Forms,connect,133,78851
Elementary Forms,realiti,133,78851
Elementary Forms,result,132,78851
Elementary Forms,moment,130,78851
Elementary Forms,regard,130,78851
Elementary Forms,scienc,130,78851
Elementary Forms,day,129,78851
Elementary Forms,element,129,78851
Elementary Forms,remain,127,78851
Elementary Forms,distinct,126,78851
Elementary Forms,sens,126,78851
Elementary Forms,close,125,78851
Elementary Forms,condit,124,78851
Elementary Forms,conscious,124,78851
Elementary Forms,initi,124,78851
Communist Manifesto,class,123,4815
Elementary Forms,contrari,122,78851
Elementary Forms,direct,120,78851
Elementary Forms,interdict,120,78851
Elementary Forms,question,120,78851
Elementary Forms,conceiv,119,78851
Elementary Forms,plant,119,78851
Elementary Forms,pass,118,78851
Elementary Forms,magic,117,78851
Elementary Forms,complet,115,78851
Elementary Forms,action,114,78851
Elementary Forms,blood,114,78851
Elementary Forms,peopl,113,78851
Elementary Forms,design,112,78851
Elementary Forms,experi,112,78851
Elementary Forms,iii,111,78851
Elementary Forms,hand,109,78851
Elementary Forms,practic,109,78851
Elementary Forms,take,109,78851
Elementary Forms,australia,108,78851
Elementary Forms,divin,107,78851
Elementary Forms,definit,106,78851
Elementary Forms,dead,104,78851
Elementary Forms,ritual,104,78851
Elementary Forms,effect,103,78851
Elementary Forms,churinga,102,78851
Elementary Forms,histori,102,78851
Communist Manifesto,bourgeoi,100,4815
Elementary Forms,appear,100,78851
Elementary Forms,materi,100,78851
Elementary Forms,notion,100,78851
Elementary Forms,attach,99,78851
Elementary Forms,enter,97,78851
Elementary Forms,establish,97,78851
Elementary Forms,function,97,78851
Elementary Forms,speak,97,78851
Elementary Forms,understand,97,78851
Elementary Forms,explan,96,78851
Elementary Forms,unit,96,78851
Elementary Forms,depend,95,78851
Elementary Forms,aspect,94,78851
Elementary Forms,belong,93,78851
Elementary Forms,imagin,93,78851
